sequence_id	specimen_id	library_id	path
50149_4_11	MA02458	MA02458_library01	"/seq/illumina/runs/50/50149/lane4/plex11/50149_4#11.cram"
50149_4_12	MA02202	MA02202_library01	"/seq/illumina/runs/50/50149/lane4/plex12/50149_4#12.cram"
50149_4_13	MA01250	MA01250_library01	"/seq/illumina/runs/50/50149/lane4/plex13/50149_4#13.cram"
50149_4_14	MA01482	MA01482_library01	"/seq/illumina/runs/50/50149/lane4/plex14/50149_4#14.cram"
50149_4_15	MA01485	MA01485_library01	"/seq/illumina/runs/50/50149/lane4/plex15/50149_4#15.cram"
50149_4_16	MA00101	MA00101_library01	"/seq/illumina/runs/50/50149/lane4/plex16/50149_4#16.cram"
50149_4_17	MA01759	MA01759_library01	"/seq/illumina/runs/50/50149/lane4/plex17/50149_4#17.cram"
50149_4_18	MA00469	MA00469_library01	"/seq/illumina/runs/50/50149/lane4/plex18/50149_4#18.cram"
50149_4_19	MA02020	MA02020_library01	"/seq/illumina/runs/50/50149/lane4/plex19/50149_4#19.cram"
50149_4_20	MA02021	MA02021_library01	"/seq/illumina/runs/50/50149/lane4/plex20/50149_4#20.cram"
50149_4_21	MA00729	MA00729_library01	"/seq/illumina/runs/50/50149/lane4/plex21/50149_4#21.cram"
50149_4_22	MA01049	MA01049_library01	"/seq/illumina/runs/50/50149/lane4/plex22/50149_4#22.cram"
50149_4_23	MA00924	MA00924_library01	"/seq/illumina/runs/50/50149/lane4/plex23/50149_4#23.cram"
50149_4_24	MA01168	MA01168_library01	"/seq/illumina/runs/50/50149/lane4/plex24/50149_4#24.cram"
50149_4_25	MA02248	MA02248_library01	"/seq/illumina/runs/50/50149/lane4/plex25/50149_4#25.cram"
50149_4_26	MA02276	MA02276_library01	"/seq/illumina/runs/50/50149/lane4/plex26/50149_4#26.cram"
